# n,energy,bc_sum,bcd_x_sum,bcd_y_sum
0.004198148148148133,-3.1481999999999997,-0.00035941378470824104,-0.0000018621722407067307,0.000001428876017248623
0.004514351851851844,-3.146,-0.00038685499931270274,-0.0000024180352058754307,0.0000016431652256986592
0.0047962962962962916,-3.1437999999999997,-0.00041123509326130534,-0.0000022526310469471806,0.0000020407928240513614
0.0050907407407407386,-3.1416,-0.00043688311981407495,-0.000002421765932812362,0.000001697640446900358
0.005424074074074077,-3.1393999999999997,-0.00046584990832514785,-0.0000024451547397856812,0.0000017324717463869062
0.005724074074074078,-3.1372,-0.000491943303627163,-0.000002452434237549046,0.0000017559054962666223
0.006046296296296303,-3.135,-0.0005200515746692405,-0.000002448783466121696,0.000001774862013290401
0.006368518518518526,-3.1328,-0.000548109661209228,-0.000002425868850162196,0.000001782793783465532
0.006679629629629639,-3.1306,-0.0005751593069864602,-0.0000023857462401450865,0.000001780089346231346
0.0070018518518518615,-3.1284,-0.000603345192817887,-0.000002338626724261008,0.0000017746691894164112
0.007296296296296309,-3.1262,-0.0006290219108176882,-0.0000022769672622241177,0.0000017589741812263224
0.00755740740740742,-3.1239999999999997,-0.000651847543864523,-0.0000022149045840492705,0.000001741031093992944
0.007901851851851865,-3.1218,-0.0006818843649905586,-0.000002113236776607496,0.000001705941770271251
0.008229629629629642,-3.1195999999999997,-0.0007105942418632808,-0.0000020076299426326536,0.0000016680001190832355
0.008551851851851866,-3.1174,-0.0007387024959266742,-0.0000018816492797260288,0.0000016177864209596319
0.008851851851851864,-3.1151999999999997,-0.000764919408450301,-0.000001753911532203073,0.0000015653171427865495
0.00914074074074075,-3.113,-0.0007903201728796292,-0.0000016286107855547952,0.000001514129182470081
0.009485185185185192,-3.1108,-0.000820349174646202,-0.0000014484618644660014,0.000001434898423621299
0.009785185185185195,-3.1086,-0.0008464582843443833,-0.000001275394386044063,0.0000013566061657636511
0.010051851851851862,-3.1064,-0.0008699244373908222,-0.000001127413466406652,0.0000012913729788133465
0.010401851851851864,-3.1041999999999996,-0.0009003403220645781,-0.0000008957730381714706,0.0000011832720232380823
0.010718518518518533,-3.102,-0.000927834803548511,-0.0000006705672321717627,0.0000010766102575052834
