# n,energy,bc_sum,bcd_x_sum,bcd_y_sum
0,-3.0755999999999997,0,0,0
0,-3.0734,0,0,0
0,-3.0711999999999997,0,0,0
0,-3.069,0,0,0
0,-3.0667999999999997,0,0,0
0,-3.0646,0,0,0
0,-3.0624,0,0,0
0,-3.0602,0,0,0
0,-3.058,0,0,0
0,-3.0557999999999996,0,0,0
0,-3.0536,0,0,0
0,-3.0513999999999997,0,0,0
0,-3.0492,0,0,0
0,-3.0469999999999997,0,0,0
0,-3.0448,0,0,0
0,-3.0425999999999997,0,0,0
0,-3.0404,0,0,0
0,-3.0382,0,0,0
0,-3.0359999999999996,0,0,0
0,-3.0338,0,0,0
0,-3.0316,0,0,0
0,-3.0294,0,0,0
0,-3.0271999999999997,0,0,0
0.000048148148148148155,-3.025,0.00000043663840492052667,0.000003941217048717538,-0.0000000838932924456275
0.0006407407407407408,-3.0227999999999997,0.0000062166739626261635,0.000041237836619952296,-0.00000028938226639622865
0.0012592592592592594,-3.0206,0.0000122846370704309,0.00008026898568711777,-0.0000004768420642415931
0.0018537037037037038,-3.0183999999999997,0.00001801120584559065,0.0001180471602524418,-0.0000006417746703365398
0.0024569444444444417,-3.0162,0.000023800865387890073,0.00015643721773852973,-0.0000007734494275359587
0.0030916666666666605,-3.014,0.000030051918692770272,0.00019678957391814473,-0.0000009360943425112523
0.003711522633744848,-3.0118,0.000036124351378432584,0.00023642488483421057,-0.0000010719564850833676
0.004319958847736618,-3.0096,0.00004204431849657522,0.0002761104451898552,-0.0000012352194393080267
0.004937037037037031,-3.0073999999999996,0.000048196299488520894,0.00031628761566166553,-0.0000013255731717516213
0.005560082304526747,-3.0052,0.00005440539023143297,0.0003577264983414148,-0.0000015484287205972964
0.0061753086419753045,-3.0029999999999997,0.00006044555192651753,0.0003978389928997228,-0.0000015660119630026336
0.006797890946502054,-3.0008,0.00006685318497459912,0.0004395529608614386,-0.000001769807283947623
0.007426800411522629,-2.9985999999999997,0.00007329188634006802,0.0004811066200236835,-0.0000019008776350615206
0.008052829218106992,-2.9964,0.00007952367581869378,0.0005230532849474816,-0.0000020974567584439874
